hex_id,amenity_types
88283095ebfffff,"bank,bar,bench,bicycle_parking,cafe,dentist,dojo,drinking_water,fast_food,fire_station,fuel,karaoke,kindergarten,library,parking,pharmacy,place_of_worship,police,post_box,pub,restaurant,school,taxi,toilets,veterinary,waste_basket"
88283082a9fffff,"animal_boarding,arts_centre,atm,bank,bar,bench,bicycle_parking,bicycle_rental,bus_station,cafe,car_sharing,chair,charging_station,childcare,clinic,clock,college,community_centre,compressed_air,dentist,doctors,drinking_water,events_venue,fast_food,fire_station,fuel,loading_dock,motorcycle_parking,nightclub,parking,parking_entrance,parking_space,pharmacy,place_of_worship,post_box,post_office,pub,restaurant,school,shelter,social_facility,studio,table,taxi,telephone,ticket_validator,toilets,university,vending_machine,waste_basket"
8828309537fffff,"atm,bench,cafe,childcare,drinking_water,library,parking,pharmacy,place_of_worship,police,post_box,post_office,prep_school,recycling,restaurant,school,theatre,toilets,veterinary,waste_basket"
88283082b7fffff,"atm,bar,bench,bicycle_parking,bicycle_rental,cafe,car_rental,car_sharing,charging_station,clock,college,compressed_air,drinking_water,fast_food,fuel,ice_cream,library,motorcycle_parking,nightclub,parking,parking_entrance,pharmacy,place_of_worship,post_box,post_office,pub,public_bookcase,recycling,restaurant,school,shelter,social_centre,taxi,theatre,toilets,university,vending_machine,waste_basket"
88283082b3fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,charging_station,drinking_water,fast_food,fuel,motorcycle_parking,parking,parking_entrance,parking_space,place_of_worship,post_box,ranger_station,restaurant,school,social_facility,toilets,waste_basket"
8828309565fffff,"bank,bicycle_parking,car_wash,fuel,parking,place_of_worship,post_box,post_office,recycling,school,telephone,ticket_validator,vending_machine,waste_basket,weighbridge"
88283082e3fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,charging_station,clinic,college,doctors,drinking_water,fast_food,library,motorcycle_parking,parking,parking_entrance,parking_space,police,post_box,post_depot,post_office,pub,restaurant,toilets,university,vending_machine,waste_basket"
8828308287fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_rental,charging_station,childcare,clinic,clock,college,community_centre,courthouse,drinking_water,events_venue,fast_food,food_court,fountain,language_school,library,marketplace,money_transfer,nightclub,parking,parking_entrance,parking_space,place_of_worship,police,post_box,post_office,pub,restaurant,school,shelter,social_facility,stripclub,swingerclub,taxi,theatre,toilets,townhall,university,vending_machine,waste_basket"
8828308283fffff,"arts_centre,atm,bank,bar,bench,bicycle_parking,bicycle_rental,biergarten,cafe,cinema,clinic,community_centre,concert_hall,drinking_water,fire_station,fountain,fuel,ice_cream,kindergarten,loading_dock,motorcycle_parking,parking,parking_entrance,place_of_worship,post_box,post_office,public_bookcase,restaurant,school,social_facility,taxi,theatre,toilets,vending_machine,waste_basket"
88283095c3fffff,"cafe,car_sharing,charging_station,childcare,kindergarten,parking,parking_space,pharmacy,place_of_worship,post_box,pub,restaurant,school"
88283082b1fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_sharing,community_centre,dentist,drinking_water,fast_food,fire_station,motorcycle_parking,nightclub,parking,pharmacy,place_of_worship,post_box,post_office,pub,restaurant,school,shelter,telephone,toilets,university,veterinary,vintage and modern resale,waste_basket"
88283082adfffff,"atm,bar,bench,bicycle_parking,bicycle_rental,bus_station,cafe,car_sharing,clinic,dentist,drinking_water,fast_food,ferry_terminal,loading_dock,motorcycle_parking,parking,parking_entrance,post_box,restaurant,taxi,telephone,ticket_validator,toilets,vending_machine,veterinary,waste_basket"
88283082ddfffff,"arts_centre,atm,bank,bicycle_parking,cafe,dentist,doctors,ice_cream,library,parking,pharmacy,place_of_worship,post_box,post_office,pub,restaurant,school,theatre,toilets,waste_basket"
8828308203fffff,"bench,bicycle_parking,bicycle_rental,drinking_water,fixme,parking,post_depot,recycling,toilets"
88283095c1fffff,"bank,bbq,bench,cafe,charging_station,drinking_water,fast_food,loading_dock,parking,place_of_worship,post_office,restaurant,school,toilets,waste_basket"
882830953bfffff,"bench,bicycle_rental,community_centre,parking,place_of_worship,post_box,restaurant,school,toilets"
8828308289fffff,"animal_shelter,arts_centre,atm,bank,bar,bicycle_parking,bicycle_rental,bureau_de_change,cafe,car_rental,car_sharing,car_wash,charging_station,cinema,clinic,community_centre,coworking_space,dentist,doctors,events_venue,fast_food,fuel,ice_cream,kindergarten,marketplace,nightclub,parking,parking_space,place_of_worship,police,post_box,pub,restaurant,school,social_facility,taxi,theatre,toilets,waste_basket"
88283082abfffff,"arts_centre,atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_rental,childcare,cinema,clock,college,community_centre,conference_centre,coworking_space,dentist,drinking_water,events_venue,fast_food,food_court,fountain,ice_cream,language_school,library,motorcycle_parking,nightclub,parking,parking_entrance,parking_space,pharmacy,photo_booth,place_of_worship,polling_station,post_box,post_office,pub,public_bookcase,recycling,restaurant,school,shelter,social_facility,stripclub,table,taxi,telephone,theatre,toilets,university,vending_machine,waste_basket"
882830876dfffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_sharing,cinema,clinic,college,dentist,doctors,dojo,drinking_water,fast_food,fire_station,fuel,ice_cream,library,motorcycle_parking,parking,parking_entrance,pharmacy,place_of_worship,post_box,post_office,prep_school,pub,restaurant,school,telephone,toilets,veterinary,waste_basket"
882830876bfffff,"bbq,bench,bicycle_parking,bicycle_rental,bicycle_repair_station,bus_station,cafe,drinking_water,fire_station,parking,parking_space,post_box,public_bookcase,recycling,restaurant,school,shower,theatre,toilets,vending_machine,waste_basket"
882830820bfffff,"bench,cafe,drinking_water,events_venue,parking,place_of_worship,public_bath,school,toilets,waste_basket"
8828308257fffff,"bbq,bicycle_rental,cafe,childcare,clinic,fast_food,fire_station,parking,pharmacy,place_of_worship,post_box,post_office,restaurant,school,toilets"
88283095c7fffff,"bar,bench,bicycle_parking,cafe,clinic,dentist,doctors,fast_food,fuel,parking,place_of_worship,police,post_box,post_office,restaurant,school,social_centre,training,vending_machine,veterinary,waste_basket"
88283095a5fffff,"arts_centre,bar,bench,bicycle_parking,bicycle_rental,cafe,clock,dojo,drinking_water,hospital,parking,parking_entrance,place_of_worship,place_of_worship;monastery,police,post_box,public_bookcase,reception_desk,recycling,restaurant,school,shelter,table,toilets,training,university,vending_machine,waste_basket"
8828309539fffff,"bar,bench,bicycle_parking,bicycle_rental,cafe,college,dentist,drinking_water,ice_cream,parking,place_of_worship,post_box,school,toilets,waste_basket"
88283082bbfffff,"atm,bank,bar,bench,bicycle_parking,cafe,clinic,drinking_water,fast_food,fire_station,fountain,hospital,ice_cream,library,motorcycle_parking,parking,place_of_worship,post_box,restaurant,school,taxi,toilets,veterinary,waste_basket"
882830828bfffff,"Pet grooming shop,arts_centre,atm,bank,bar,bench,bicycle_parking,bicycle_rental,bus_station,cafe,childcare,clinic,college,community_centre,cooking_school,coworking_space,dentist,doctors,drinking_water,fast_food,fire_station,karaoke_box,kindergarten,motorcycle_parking,nightclub,parking,pharmacy,place_of_worship,post_box,pub,public_bookcase,recycling,restaurant,school,shelter,social_centre,social_facility,toilets,university,vending_machine,veterinary,waste_basket"
88283082ebfffff,"arts_centre,bar,bench,bicycle_parking,bicycle_rental,cafe,dojo,drinking_water,fire_station,fuel,hospital,ice_cream,parking,place_of_worship,post_box,post_depot,pub,public_bookcase,restaurant,school,social_centre,theatre,toilets,university,waste_basket"
8828308761fffff,"bar,bench,bicycle_parking,boat_storage,cafe,charging_station,clock,community_centre,drinking_water,fountain,harbourmaster,parking,parking_space,post_box,school,theatre,toilets,waste_basket"
8828308293fffff,"animal_boarding,atm,bank,bicycle_parking,cafe,cinema,clinic,college,doctors,drinking_water,fast_food,hospital,parking,parking_space,place_of_worship,post_box,post_office,restaurant,social_facility,toilets,waste_basket"
8828308251fffff,"bench,doctors,kindergarten,parking,place_of_worship,post_box,school,shelter,telephone"
8828309507fffff,"bank,bar,bicycle_rental,cafe,childcare,fast_food,fuel,library,parking,pharmacy,place_of_worship,post_office,restaurant,school,social_facility"
88283082b5fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,childcare,clinic,clock,community_centre,dentist,doctors,drinking_water,fast_food,fire_station,grocery,hospital,ice_cream,kindergarten,library,motorcycle_parking,nightclub,parking,parking_entrance,pharmacy,place_of_worship,police,popcorn,post_box,post_office,pub,public_bookcase,restaurant,school,spa,stripclub,taxi,telephone,theatre,toilets,vending_machine,waste_basket"
8828308291fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_sharing,charging_station,clinic,doctors,drinking_water,fast_food,fire_station,hospital,kindergarten,loading_dock,motorcycle_parking,parking,parking_entrance,parking_space,pharmacy,place_of_worship,post_box,public_bookcase,research_institute,restaurant,school,social_facility,taxi,trolley_bay,university,waste_basket"
88283080d9fffff,"atm,bar,bench,bicycle_parking,bicycle_rental,cafe,chocolate;dessert;ice_cream,community_centre,cooking_school,fountain,ice_cream,letter_box,parcel_locker,parking,parking_entrance,post_box,pub,recycling,restaurant,shelter,taxi,toilets,university,vending_machine,waste_basket"
