h3_index,geometry
88283095b7fffff,"POLYGON ((-122.48786950054948 37.78258120599892, -122.4833998155077 37.78612632321605, -122.48485023617627 37.79081578862429, -122.49077067933358 37.791959950290696, -122.49524014953477 37.78841471642, -122.49378939146769 37.783725437546344, -122.48786950054948 37.78258120599892))"
88283082a1fffff,"POLYGON ((-122.3930038777072 37.78184647001161, -122.38852823904973 37.78538910040422, -122.38997525724962 37.790081199780595, -122.39589825306311 37.79123048298997, -122.40037367895451 37.787687735526404, -122.39892632184691 37.78299582193438, -122.3930038777072 37.78184647001161))"
8828309529fffff,"POLYGON ((-122.41721344356674 37.71595259157857, -122.41274216494323 37.71949672669786, -122.41418913254694 37.72419088236037, -122.42010771691542 37.72534071661794, -122.42457878251383 37.72179646429934, -122.42313147681722 37.71710249493237, -122.41721344356674 37.71595259157857))"
8828309533fffff,"POLYGON ((-122.44667765426718 37.73932206622323, -122.44220722885217 37.74286666982221, -122.4436555748967 37.74755905392198, -122.44957468417971 37.74870664801545, -122.45404489583083 37.74516192742889, -122.45259621201124 37.740469729746295, -122.44667765426718 37.73932206622323))"
88283082d3fffff,"POLYGON ((-122.44800131577514 37.76163480597738, -122.4435300143827 37.76517915148818, -122.44497871857398 37.769870578286934, -122.45089906210502 37.77101747326509, -122.45537014961292 37.76747301085173, -122.4539211075227 37.76278177037268, -122.44800131577514 37.76163480597738))"
8828308259fffff,"POLYGON ((-122.39209430151541 37.70665422625205, -122.3876218403609 37.71019782215298, -122.38906778027392 37.714893048956526, -122.39498651982231 37.71604449372919, -122.39945876853805 37.7125007804866, -122.39801249019256 37.707805739822945, -122.39209430151541 37.70665422625205))"
88283082d7fffff,"POLYGON ((-122.43760980181288 37.764031696110386, -122.43313774173482 37.76757573682727, -122.43458610784572 37.772267349851525, -122.44050687216347 37.77341473594332, -122.44497871857398 37.769870578286934, -122.4435300143827 37.76517915148818, -122.43760980181288 37.764031696110386))"
8828309425fffff,"POLYGON ((-122.47650935952757 37.70981245540181, -122.47204208461838 37.713358226998444, -122.473491085098 37.71805100739221, -122.47940769764297 37.71919782940189, -122.48387475825952 37.715651940843095, -122.4824254206721 37.710959347246636, -122.47650935952757 37.70981245540181))"
8828309511fffff,"POLYGON ((-122.46310623195092 37.720449280397254, -122.4586376541747 37.72399456201426, -122.46008632427028 37.72868727280308, -122.46600390958095 37.72983451534558, -122.47047227331272 37.7262891167457, -122.46902326582664 37.721596592596086, -122.46310623195092 37.720449280397254))"
88283082c9fffff,"POLYGON ((-122.41853073756909 37.73827195093835, -122.41405858248666 37.741815828309846, -122.41550590767771 37.74650902798579, -122.42142572621657 37.747658164102, -122.42589766815368 37.74411416961635, -122.42445000474562 37.739421156138576, -122.41853073756909 37.73827195093835))"
88283082c5fffff,"POLYGON ((-122.4051129695667 37.74890309031136, -122.40063951171169 37.75244647475627, -122.40208650484344 37.75713960358171, -122.40800729437866 37.758289161932304, -122.41248053933784 37.75474566035253, -122.41103320770603 37.75005271756699, -122.4051129695667 37.74890309031136))"
88283080cbfffff,"POLYGON ((-122.40471645324367 37.801762073759335, -122.40024069479227 37.80530474916876, -122.40168840973689 37.80999570346666, -122.40761222203223 37.811143796583586, -122.41208776737979 37.80760100422448, -122.41063971358435 37.802910235708076, -122.40471645324367 37.801762073759335))"
8828309521fffff,"POLYGON ((-122.41418913254694 37.72419088236037, -122.40971730926277 37.72773483012785, -122.41116428329157 37.73242872932619, -122.41708341884751 37.73357849453532, -122.42155502913886 37.73003442958467, -122.42010771691542 37.72534071661794, -122.41418913254694 37.72419088236037))"
88283082a3fffff,"POLYGON ((-122.40037367895451 37.787687735526404, -122.39589825306311 37.79123048298997, -122.39734561646776 37.79592213887592, -122.40326874464049 37.79707086149341, -122.40774395758072 37.79352799701161, -122.40629625534778 37.78883652694052, -122.40037367895451 37.787687735526404))"
88283082b5fffff,"POLYGON ((-122.40774395758072 37.79352799701161, -122.40326874464049 37.79707086149341, -122.40471645324367 37.801762073759335, -122.41063971358435 37.802910235708076, -122.41511471338828 37.79936725426075, -122.41366666603628 37.794676227840164, -122.40774395758072 37.79352799701161))"
88283082e9fffff,"POLYGON ((-122.39471885430447 37.751296356223854, -122.39024463871759 37.754839435300696, -122.39169129316812 37.75953275007159, -122.39761250193513 37.76068279983014, -122.40208650484344 37.75713960358171, -122.40063951171169 37.75244647475627, -122.39471885430447 37.751296356223854))"
8828309531fffff,"POLYGON ((-122.43931088806146 37.7334812018286, -122.43484024906729 37.73702568838709, -122.43628825051117 37.74171851557236, -122.44220722885217 37.74286666982221, -122.44667765426718 37.73932206622323, -122.44522931496871 37.73462942542478, -122.43931088806146 37.7334812018286))"
88283082e5fffff,"POLYGON ((-122.38129490479633 37.761925099453045, -122.37681938644465 37.76546768434345, -122.37826570813911 37.77016092771998, -122.38418788719795 37.771311400429006, -122.38866319312105 37.76776869834633, -122.38721653246223 37.76307564075689, -122.38129490479633 37.761925099453045))"
8828308281fffff,"POLYGON ((-122.41682323684428 37.768823088264455, -122.41234965984782 37.77236651869775, -122.41379734925398 37.77705850389022, -122.41971895414805 37.77820687262237, -122.42419231791122 37.77466332517581, -122.42274429006201 37.7699715260203, -122.41682323684428 37.768823088264455))"
88283082a9fffff,"POLYGON ((-122.3960319590407 37.773611293806056, -122.39155686573118 37.7771541130283, -122.3930038777072 37.78184647001161, -122.39892632184691 37.78299582193438, -122.40340120235787 37.77945288562526, -122.4019538515761 37.7747607144902, -122.3960319590407 37.773611293806056))"
88283080d9fffff,"POLYGON ((-122.42248594617955 37.80520550706759, -122.41801115969699 37.8087486054277, -122.41945955867844 37.813438930065146, -122.42538308278074 37.81458597044623, -122.42985765575683 37.81104275522607, -122.42840891818561 37.80635261649481, -122.42248594617955 37.80520550706759))"
88283080c9fffff,"POLYGON ((-122.39734561646776 37.79592213887592, -122.39286964509765 37.79946469728295, -122.39431701477054 37.80415609529992, -122.40024069479227 37.80530474916876, -122.40471645324367 37.801762073759335, -122.40326874464049 37.79707086149341, -122.39734561646776 37.79592213887592))"
8828308203fffff,"POLYGON ((-122.3726187669005 37.73376059656979, -122.36814391438732 37.73730332381546, -122.36958953382668 37.74199796699535, -122.37551034474653 37.743149697085975, -122.3799849851358 37.73960685251054, -122.37853902677749 37.734912395184224, -122.3726187669005 37.73376059656979))"
88283082e7fffff,"POLYGON ((-122.38866319312105 37.76776869834633, -122.38418788719795 37.771311400429006, -122.38563455403627 37.776004200673846, -122.39155686573118 37.7771541130283, -122.3960319590407 37.773611293806056, -122.3945849533173 37.76891867937889, -122.38866319312105 37.76776869834633))"
882830821bfffff,"POLYGON ((-122.40077236035269 37.73482223330702, -122.39629923470937 37.73836568853357, -122.39774587665701 37.74305951717752, -122.40366598277384 37.744209704531634, -122.40813889567377 37.74066613210137, -122.40669191524859 37.73597248953065, -122.40077236035269 37.73482223330702))"
8828309589fffff,"POLYGON ((-122.49257324317678 37.74380260664484, -122.48810552268584 37.74734835587488, -122.48955557021581 37.7520392936989, -122.49547367535688 37.75318429554275, -122.49994118106497 37.749638429542216, -122.49849079646327 37.74494767847819, -122.49257324317678 37.74380260664484))"
88283082e1fffff,"POLYGON ((-122.39169129316812 37.75953275007159, -122.38721653246223 37.76307564075689, -122.38866319312105 37.76776869834633, -122.3945849533173 37.76891867937889, -122.39905950137711 37.765375671538024, -122.39761250193513 37.76068279983014, -122.39169129316812 37.75953275007159))"
